=== AetherCore Summary Analyzer (Gepard 3.0) ===
ไฟล์นี้คือ output จาก parser เก่า → วิเคราะห์ได้เลย

พบทั้งหมด 768 packet

Opcode ที่สำคัญ (Gepard 3.0):
------------------------------------------------------------
Opcode: 0x0000 | Len: 49156 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0x0000 | Len: 53252 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0x0000 | Len: 57348 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0x0000 | Len: 61444 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0x0018 | Len: 5     |
Opcode: 0x0012 | Len: 4101  |
Opcode: 0x099B | Len: 8197  |
Opcode: 0x4203 | Len: 16389 |
Opcode: 0xB090 | Len: 20485 |
Opcode: 0x721C | Len: 24581 |
Opcode: 0x6B18 | Len: 28677 |
Opcode: 0x2054 | Len: 20776 |
Opcode: 0xCEE9 | Len: 7765  | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0xDF3E | Len: 44165 | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0x01D7 | Len: 4096  |
Opcode: 0x6C09 | Len: 8192  |
Opcode: 0x31A0 | Len: 12288 |
Opcode: 0xA28B | Len: 16384 |
Opcode: 0x014D | Len: 20480 |
Opcode: 0xE1E6 | Len: 24576 |
Opcode: 0x2583 | Len: 28672 |
Opcode: 0xEFB0 | Len: 32768 |
Opcode: 0x4872 | Len: 36864 |
Opcode: 0x830C | Len: 40960 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0xB24F | Len: 45056 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0x5721 | Len: 49152 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0xC794 | Len: 53248 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0x548C | Len: 57344 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0xA5D2 | Len: 61440 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0x0900 | Len: 1     |
Opcode: 0x0000 | Len: 4097  |
Opcode: 0x554F | Len: 12289 |
Opcode: 0x0000 | Len: 16385 |
Opcode: 0x5400 | Len: 20481 |
Opcode: 0x0000 | Len: 24577 |
Opcode: 0x0000 | Len: 28673 |
Opcode: 0x0000 | Len: 32769 |
Opcode: 0x0100 | Len: 36865 |
Opcode: 0x5349 | Len: 40961 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0x0000 | Len: 45057 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0x2300 | Len: 49153 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0x0000 | Len: 53249 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0x0000 | Len: 57345 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0x0100 | Len: 61441 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0x0000 | Len: 2     |
Opcode: 0x0000 | Len: 4098  |
Opcode: 0x0000 | Len: 8194  |
Opcode: 0x0000 | Len: 12290 |
Opcode: 0x0000 | Len: 16386 |
Opcode: 0x0000 | Len: 20482 |
Opcode: 0x0000 | Len: 24578 |
Opcode: 0x0000 | Len: 28674 |
Opcode: 0x0000 | Len: 32770 |
Opcode: 0x0000 | Len: 36866 |
Opcode: 0x0000 | Len: 40962 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0x0000 | Len: 45058 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0x0000 | Len: 49154 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0x0000 | Len: 53250 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0x0000 | Len: 57346 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0x0000 | Len: 61442 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0x0000 | Len: 3     |
Opcode: 0x0000 | Len: 4099  |
Opcode: 0x0000 | Len: 8195  |
Opcode: 0x0000 | Len: 12291 | 
Opcode: 0x0000 | Len: 16387 |
Opcode: 0x0000 | Len: 20483 |
Opcode: 0x0000 | Len: 24579 |
Opcode: 0x0000 | Len: 28675 |
Opcode: 0x0000 | Len: 32771 |
Opcode: 0x0000 | Len: 36867 |
Opcode: 0x0000 | Len: 40963 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0x0000 | Len: 45059 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0x0000 | Len: 49155 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0x0000 | Len: 53251 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0x0016 | Len: 57347 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0x0000 | Len: 61443 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0x0000 | Len: 4     |
Opcode: 0x0311 | Len: 4100  |
Opcode: 0x0001 | Len: 8196  |
Opcode: 0x0001 | Len: 12292 |
Opcode: 0x0001 | Len: 16388 |
Opcode: 0x0000 | Len: 20484 |
Opcode: 0x0011 | Len: 28676 |
Opcode: 0x0000 | Len: 32772 |
Opcode: 0x00B6 | Len: 40964 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0x068E | Len: 45060 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0x8C47 | Len: 49156 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0x0000 | Len: 53252 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0x5094 | Len: 20776 |
Opcode: 0xCEE9 | Len: 7765  | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0xDF3E | Len: 44165 | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0x9089 | Len: 2096  |
Opcode: 0xCEE9 | Len: 7765  | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0xDF3E | Len: 44165 | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0x4075 | Len: 1844  |
Opcode: 0xCEE9 | Len: 7765  | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0xDF3E | Len: 44165 | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0x8086 | Len: 37464 |
Opcode: 0xCEE9 | Len: 7765  | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0xDF3E | Len: 44165 | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0x5038 | Len: 4704  |
Opcode: 0xCEE9 | Len: 7765  | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0xDF3E | Len: 44165 | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0x5070 | Len: 1890  |
Opcode: 0xCEE9 | Len: 7765  | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0xDF3E | Len: 44165 | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0x6083 | Len: 2406  |
Opcode: 0xCEE9 | Len: 7765  | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0xDF3E | Len: 44165 | 🚨 Gepard Heartbeat / Anti-Bot Check
